№,shop,brand,model,length_cm,condition,orig_price,price,url
1,xtreme.ge,HEAD,Ambition Pro,140,new,1199.0,799.0,https://www.xtreme.ge/en/shop/ambition-pro-103456?page=3
2,xtreme.ge,HEAD,Ambition Pro,170,new,1199.0,799.0,https://www.xtreme.ge/en/shop/ambition-pro-103456?page=3
3,xtreme.ge,HEAD,Ambition Pro R Track SET,160,new,999.0,799.0,https://www.xtreme.ge/en/shop/ambition-pro-r-track-set-103502?page=5
4,xtreme.ge,HEAD,Ambition R,130,new,999.0,699.0,https://www.xtreme.ge/en/shop/ambition-r-103478?page=4
5,xtreme.ge,HEAD,Ambition R,170,new,999.0,699.0,https://www.xtreme.ge/en/shop/ambition-r-103478?page=4
6,xtreme.ge,HEAD,Ambtion Pro R,170,new,699.0,549.0,https://www.xtreme.ge/en/shop/ambtion-pro-r-103488?page=4
7,xtreme.ge,ARMADA,ARV 116 JJ UL S26,175,new,,2815.0,https://www.xtreme.ge/en/shop/arv-116-jj-ul-s26-218107?page=6
8,xtreme.ge,ARMADA,ARV 84 S26,150,new,,1235.0,https://www.xtreme.ge/en/shop/arv-84-s26-218114?page=6
9,xtreme.ge,ARMADA,ARV 84 S26,157,new,,1235.0,https://www.xtreme.ge/en/shop/arv-84-s26-218114?page=6
10,xtreme.ge,ARMADA,ARV 88 S26,161,new,,1759.0,https://www.xtreme.ge/en/shop/arv-88-s26-218111?page=6
11,xtreme.ge,ARMADA,ARV 88 S26,166,new,,1759.0,https://www.xtreme.ge/en/shop/arv-88-s26-218111?page=6
12,xtreme.ge,ARMADA,ARV 88 S26,171,new,,1759.0,https://www.xtreme.ge/en/shop/arv-88-s26-218111?page=6
13,xtreme.ge,ARMADA,ARV 94 S26,164,new,,1935.0,https://www.xtreme.ge/en/shop/arv-94-s26-218108?page=6
14,xtreme.ge,ARMADA,BDOG 94 S26,172,new,,2119.0,https://www.xtreme.ge/en/shop/bdog-94-s26-218127?page=6
15,xtreme.ge,ATOMIC,BENT 100 S26,165,new,,2499.0,https://www.xtreme.ge/en/shop/bent-100-s26-218141?page=7
16,xtreme.ge,ATOMIC,BENT 110 S26,180,new,,2789.0,https://www.xtreme.ge/en/shop/bent-110-s26-218139?page=7
17,xtreme.ge,ATOMIC,BENT 85 S26,160,new,,1525.0,https://www.xtreme.ge/en/shop/bent-85-s26-218148?page=7
18,xtreme.ge,ATOMIC,BENT 90 S26,157,new,,2369.0,https://www.xtreme.ge/en/shop/bent-90-s26-218144?page=7
